id,division_id,category_id,name,slug,short_desc,composition,sort_order,is_active,created_at,updated_at
144c0683-3cd2-438f-ae26-fd577b0f7ca6,e61a90f8-18b3-4b9b-afdd-ca0d319f16e3,9577f52b-ab35-4158-9bcd-109cc32f5aba,"8) Daily Solo Tablets - Astaxanthin 2mg, Taurine 100mg, Curcuma Longa 50 mg, Liquorice 30mg, Cinnamon 30mg, Clove 30mg, Cranberry 25 mg, Green Tea 25 mg, Boswellia serrata",8-daily-solo-tablets-astaxanthin-2mg-taurine-100mg-curcuma-longa-50-mg-liquorice-30mg-cinnamon-30mg-clove-30mg-cranberry-25-mg-green-tea-25-mg-boswellia-serrata,,"25mg, Lycopene 2500 mcg , Multiminerals, Multivitamins",13,true,2026-03-05 15:48:51.345643+00,2026-03-05 15:49:03.910033+00
17351f87-ffaa-48df-a478-387c3a6b3eba,e61a90f8-18b3-4b9b-afdd-ca0d319f16e3,9577f52b-ab35-4158-9bcd-109cc32f5aba,5) JIOMAX D3,5-jiomax-d3-2,,"Calcitriol 0.25mcg,Methylcobalamin 1500mcg,Calcium Carbonate 500mg, Eicosapentaenoic Acid 180mg,Docosahexaenoic Acid 120mg,Folic Acid  400mcg  with Boron1.5mg Capsules",10,true,2026-03-05 15:48:51.345643+00,2026-03-05 15:49:03.910033+00
1daf54ec-670d-4e94-b73d-c29576f5d698,337b0bac-3d9b-4a9d-a32b-af29168149a5,9577f52b-ab35-4158-9bcd-109cc32f5aba,15) ESMOFRESH DSR,15-esmofresh-dsr,,Esomeprazole 40mg & Sustained release Domperidone 30mg capsules,7,true,2026-03-05 15:51:50.699647+00,2026-03-05 15:51:50.699647+00
1f1eb1d5-ef79-4ae4-8cdc-b155a09b2dd4,e61a90f8-18b3-4b9b-afdd-ca0d319f16e3,5349b753-a731-46f6-b7f8-c07fa4f2d9e5,"12) PURNAS 24 200 ML SYP-Multivitamin,Multimineral with L",12-purnas-24-200-ml-syp-multivitamin-multimineral-with-l,,Lysine,4,true,2026-03-05 15:48:51.345643+00,2026-03-05 15:49:03.910033+00
23b957b8-4206-4cf9-969b-009766b9b9d3,e61a90f8-18b3-4b9b-afdd-ca0d319f16e3,9577f52b-ab35-4158-9bcd-109cc32f5aba,6) ESMOFRESH,6-esmofresh,,Esomeprazole gastro-resistant tablets IP 40 mg,11,true,2026-03-05 15:48:51.345643+00,2026-03-05 15:49:03.910033+00
23caf651-ee86-40db-aa0d-2e83b7320969,6b8dbf86-0f10-4385-8617-65335659a18e,9577f52b-ab35-4158-9bcd-109cc32f5aba,JOINTEE  TF,jointee-tf,,"Collagen (Type I, II, V, X) 200 mg, Mucopolysaccharides 50mg , Chondriotin Sulphate 100 mg, Hyaluronic Acid 75mg Capsules",11,true,2026-03-05 16:27:53.986476+00,2026-03-05 16:27:53.986476+00
23d7db2f-f439-41ed-9bf6-584c72d14234,aaefb005-155a-4852-83b3-1adf2166dd41,5349b753-a731-46f6-b7f8-c07fa4f2d9e5,Daily Solo Syrup (100ml),daily-solo-syrup-100ml,,"Vit. A 1500 IU, Vit. D_3 400 IU, Vit E 6 mg, Vit. K_{2-7} 10 mcg, Vit. B_1 0.8 mg,Vit. B_6 1 mg, Vit. B_{12} 2.2 mcg, Folic Acid 100 mcg, Vit. C 30 mg,Zinc 2 mg, Liposomal Iron 2 mg, Iodine 50 mcg, Selenium 5 mcg,Lutein 0.5 mg, DHA 25 mg, Inulin 25 mg, Probiotic 2 Billion CFU,",3,true,2026-03-05 15:44:23.539503+00,2026-03-05 15:44:23.539503+00
2466ee21-c268-49a6-9bf0-1f44da273d17,337b0bac-3d9b-4a9d-a32b-af29168149a5,9577f52b-ab35-4158-9bcd-109cc32f5aba,14) ESMOFRESH,14-esmofresh,,Esomeprazole gastro-resistant tablets IP 40 mg,6,true,2026-03-05 15:51:50.699647+00,2026-03-05 15:51:50.699647+00
264030a2-d8b0-4b59-80f7-42aa81917905,695899c3-d607-49f5-ae67-a545fac083b8,94b2191e-9e23-479e-af26-e948fe1c22b9,Mimoza,mimoza,,Baby Soap,16,true,2026-03-05 14:31:18.746233+00,2026-03-05 14:42:01.157317+00
26571137-0ea6-4ad0-9729-0bb041da5bb9,695899c3-d607-49f5-ae67-a545fac083b8,8a749f9e-c886-4478-8f3d-045f76e89809,LIDOPHEN EAR DROPS,lidophen-ear-drops,,"Phenazone 4% w/v, Lidocaine 1% w/v",15,true,2026-03-05 14:31:18.746233+00,2026-03-05 14:42:01.157317+00
273e23ab-5bd3-48d9-90a3-d75ab11f5020,695899c3-d607-49f5-ae67-a545fac083b8,5349b753-a731-46f6-b7f8-c07fa4f2d9e5,FINEMEF -DS,finemef-ds,,Mefenamic Acid 100mg+ Paracetamol 250mg/5ml,11,true,2026-03-05 14:31:18.746233+00,2026-03-05 14:42:01.157317+00
275a0238-eb89-4822-b196-30b3067af860,aaefb005-155a-4852-83b3-1adf2166dd41,5349b753-a731-46f6-b7f8-c07fa4f2d9e5,TANGI-IQ (200ML),tangi-iq-200ml,,"L-carnosine 100 mg, DHA 335 mg & Vitamin D_3 400 IU/5 ml",11,true,2026-03-05 15:44:23.539503+00,2026-03-05 15:44:23.539503+00
290176ed-3b99-42bf-b6b2-91cb8a8c656c,1a622c56-53e9-457a-af01-09cd550e3850,9577f52b-ab35-4158-9bcd-109cc32f5aba,"Daily Solo Tablets - Astaxanthin 2mg, Taurine 100mg, Curcuma Longa 50 mg, Liquorice 30mg, Cinnamon 30mg, Clove 30mg, Cranberry 25 mg, Green Tea 25 mg, Boswellia serrata",daily-solo-tablets-astaxanthin-2mg-taurine-100mg-curcuma-longa-50-mg-liquorice-30mg-cinnamon-30mg-clove-30mg-cranberry-25-mg-green-tea-25-mg-boswellia-serrata,,"25mg, Lycopene 2500 mcg , Multiminerals, Multivitamins",4,true,2026-03-05 15:57:11.815034+00,2026-03-05 15:57:11.815034+00
2bd8ea0d-0483-4b22-9434-2a7a570a1c1e,b821c8d5-97b0-4262-9433-70e94c600449,9577f52b-ab35-4158-9bcd-109cc32f5aba,Zanoflex,zanoflex-2,,Ofloxacin 400mg Tablets,16,true,2026-03-05 15:46:11.35997+00,2026-03-05 15:46:11.35997+00
2c68fdd3-708f-4a5a-b1c9-c3b443386055,337b0bac-3d9b-4a9d-a32b-af29168149a5,9577f52b-ab35-4158-9bcd-109cc32f5aba,8) VESTINE,8-vestine,,Duloxetine 20mg tablets,21,true,2026-03-05 15:51:50.699647+00,2026-03-05 15:51:50.699647+00
2c83b63c-e401-4e5a-984c-051d3fbed7b6,aaefb005-155a-4852-83b3-1adf2166dd41,032641d2-cb89-4897-8527-0ae60066324f,Thedigi Soft (50ml),thedigi-soft-50ml,,"Dry Syp: Bacillus coagulans 500 Million CFU, Alpha amylase 25 mg, Papain 10 mg, Lipase 1.5 mg/5 ml",16,true,2026-03-05 15:44:23.539503+00,2026-03-05 15:44:23.539503+00
